muestra,t,M 5A,DUT 30A,
17,8541,64.543,340.187,
18,9072,66.966,339.519,
19,9605,66.322,341.425,
20,10137,66.424,334.822,
21,10669,66.157,342.241,
22,11207,65.600,338.322,
23,11738,66.820,330.117,
24,12271,65.899,336.870,
25,12802,65.794,340.884,
26,13334,65.576,340.129,
27,13865,67.080,334.114,
28,14432,65.586,344.133,
29,14964,66.115,332.810,
30,15497,66.092,335.358,
31,16030,65.068,342.924,
32,16561,65.912,334.730,
33,17093,63.979,335.894,
34,17625,64.851,324.596,
35,18157,65.493,353.400,
36,18688,65.792,337.383,
37,19219,66.258,332.154,
38,19751,65.069,339.786,
39,20285,66.444,343.266,
40,20817,65.119,333.277,
41,21347,64.791,341.140,
42,21879,65.337,343.754,
43,22411,65.669,335.396,
44,22943,66.680,335.031,
45,23474,64.110,342.867,
46,24007,67.617,343.321,
47,24538,66.345,334.982,
48,25071,64.627,333.637,
49,25602,67.273,160.701,
50,26134,66.859,142.734,
51,26665,66.319,142.369,
52,27199,65.418,139.683,
muestra,t,M 5A,DUT 30A,
2,538,72.226,140.580,
3,1071,68.459,197.869,
4,1602,65.075,541.099,
5,2135,66.875,559.375,
6,2666,67.688,526.323,
7,3197,68.339,480.450,
8,3729,70.807,546.378,
9,4264,68.165,556.531,
10,4798,66.360,341.625,
11,5329,65.336,336.475,
12,5863,68.441,342.554,
13,6400,65.147,338.657,
14,6929,65.090,335.780,
15,7477,64.890,344.745,
16,8008,66.474,337.325,
17,8538,65.236,329.617,
18,9071,63.943,338.034,
19,9603,66.036,328.847,
20,10135,64.883,327.567,
21,10667,64.385,327.492,
22,11198,64.391,332.399,
23,11730,65.168,330.046,
24,12264,65.910,342.222,
25,12795,68.617,340.435,
26,13328,64.317,343.811,
27,13860,69.536,329.879,
28,14397,63.582,332.878,
29,14929,67.082,324.338,
30,15461,67.259,356.303,
31,15993,64.159,333.336,
32,16524,67.876,338.297,
33,17057,69.891,332.849,
34,17589,65.571,343.661,
35,18121,66.739,352.766,
36,18653,67.207,344.879,
37,19184,71.800,333.238,
38,19717,63.235,337.871,
39,20248,69.188,340.388,
